mgh_2,mgh_3,mgh_4,product_type,Product Style,,,
Lifestyle,BAGS,Pouch,Legpack,Not assigned,,,
Lifestyle,BAGS,Pouch,Passport Pouch,Not assigned,,,
Lifestyle,BAGS,Pouch,Travel Pouch,Polyester,,,
Lifestyle,BAGS,Pouch,Travel Pouch,WATER PROTECTION,,,
Lifestyle,BAGS,Pouch,Travel Pouch,N/A,,,
Lifestyle,BAGS,Pouch,Travel Pouch,Not assigned,,,
Lifestyle,BAGS,Pouch,Camera Pouch,Not assigned,,,
Lifestyle,BAGS,Pouch,Protect Kit / Pouch,Not assigned,,,
Lifestyle,BAGS,Pouch,Sanitizer Pouch,Polyester,,,
Lifestyle,BAGS,Pouch,Bottle Pouch,Not assigned,,,
Lifestyle,BAGS,Pouch,STATIONARY POUCH,Not assigned,,,
Lifestyle,BAGS,Pouch,Neck Pouch,Not assigned,,,
Lifestyle,BAGS,Pouch,MAKEUP POUCH,Not assigned,,,
Lifestyle,BAGS,Cases,Cable Case,Not assigned,,,
Lifestyle,BAGS,Cases,Dopp Kit,Not assigned,,,
Lifestyle,BAGS,Cases,Laptop Sleeve Case,Not assigned,,,
Lifestyle,BAGS,Cases,Packing Organizer,Not assigned,,,
Lifestyle,BAGS,Cases,Stuff Sack,Not assigned,,,
Lifestyle,BAGS,Cases,Tablet Sleeve Case,Not assigned,,,
Lifestyle,BAGS,Cases,Toiletry,Not assigned,,,
Lifestyle,BAGS,Cases,Trashbag,Not assigned,,,
Lifestyle,BAGS,Cases,ORGANIZER,Not assigned,,,
Lifestyle,BAGS,Hand Bag,Reguler Hand bag,Not assigned,,,
Lifestyle,BAGS,Cycling Bag,Handlebar Bag,Not assigned,,,
Lifestyle,BAGS,Cycling Bag,Saddle Bag,Not assigned,,,
Lifestyle,BAGS,Cycling Bag,Top Tube Bag,Not assigned,,,
Lifestyle,BAGS,Cycling Bag,Bike Carrier,Folding Bike,,,
Lifestyle,BAGS,Special Purpose Bag,Lunch Bag,Two ways carry,,,
Lifestyle,BAGS,Special Purpose Bag,ORGANIZER,Not assigned,,,
Lifestyle,ACCESSORIES,Wallet,Long,Threefold,,,
Lifestyle,ACCESSORIES,Wallet,Long,Long Wallet,,,
Lifestyle,ACCESSORIES,Wallet,Short,Bifold,,,
Lifestyle,ACCESSORIES,Wallet,Short,Threefold,,,
Lifestyle,ACCESSORIES,Wallet,Short,Neck Wallet,,,
Lifestyle,ACCESSORIES,Wallet,Short,Zipper Wallet,,,
Lifestyle,ACCESSORIES,Wallet,Short,Passport Wallet,,,
Lifestyle,ACCESSORIES,Wallet,Short,Key Wallet,,,
Lifestyle,ACCESSORIES,Wallet,Short,Coin Wallet,,,
Lifestyle,ACCESSORIES,Wallet,Short,Not assigned,,,
Lifestyle,ACCESSORIES,Wallet,Card Holder Wallet,Card Wallet,,,
Lifestyle,ACCESSORIES,Travel Accessories,Luggage Lock,Not assigned,,,
Lifestyle,ACCESSORIES,Travel Accessories,Travel Set,Not assigned,,,
Lifestyle,ACCESSORIES,Travel Accessories,Strap,Not assigned,,,
Lifestyle,ACCESSORIES,Chain Accessories,Keychain,Not assigned,,,
Lifestyle,ACCESSORIES,Gadget Accessories,Hp Case,Not assigned,,,
